State,Year,Total Number of Establishments,Total Population,Average Wage
Alabama,2013,4284.0,,
Alabama,2014,4236.0,2465.0,31782.986206896552
Alabama,2015,714.0,2286.0,36900.79615048119
Alabama,2016,718.0,2194.0,37919.59206927985
Alabama,2017,,2356.0,38896.424448217316
Alabama,2018,,2602.0,42186.57494235204
Alabama,2019,,2651.0,40806.92153904187
Alabama,2020,,3113.0,37075.149373594606
Alabama,2021,,3048.0,38863.53313648294
Alabama,2022,,3211.0,41212.73123637496
Alaska,2013,240.0,,
Alaska,2014,240.0,,
Alaska,2015,38.0,,
Alaska,2016,38.0,,
Alaska,2017,,11.0,75839.18181818182
Alaska,2018,,11.0,77687.81818181818
Alaska,2019,,51.0,34998.78431372549
Alaska,2020,,51.0,35435.666666666664
Alaska,2021,,52.0,36871.13461538462
Alaska,2022,,47.0,27836.787234042553
Arizona,2013,2184.0,,
Arizona,2014,2148.0,1401.0,38939.390435403286
Arizona,2015,350.0,1451.0,42349.1116471399
Arizona,2016,368.0,1337.0,41906.01795063575
Arizona,2017,,1236.0,45462.87216828479
Arizona,2018,,1608.0,42846.79415422885
Arizona,2019,,1577.0,43642.24350031706
Arizona,2020,,1966.0,43261.3494404883
Arizona,2021,,2149.0,47603.69381107492
Arizona,2022,,2062.0,51394.48787584869
Arkansas,2013,3288.0,,
Arkansas,2014,3216.0,1808.0,36542.21681415929
Arkansas,2015,542.0,1735.0,40383.07780979827
Arkansas,2016,532.0,1780.0,39966.48258426967
Arkansas,2017,,2000.0,38660.7225
Arkansas,2018,,1864.0,39985.73712446352
Arkansas,2019,,1957.0,39443.45631067961
Arkansas,2020,,2073.0,40169.48962855765
Arkansas,2021,,1829.0,44801.610716238385
Arkansas,2022,,1451.0,46824.126119917295
California,2013,11808.0,,
California,2014,11892.0,11865.0,43583.24433206911
California,2015,1988.0,11861.0,42369.905741505776
California,2016,1996.0,11593.0,42538.42689554041
California,2017,,11875.0,45798.472842105264
California,2018,,12467.0,47541.35092644582
California,2019,,12797.0,47064.794326795345
California,2020,,13190.0,47440.970204700534
California,2021,,13164.0,52782.39706776056
California,2022,,13556.0,53933.0841693715
Colorado,2013,2136.0,,
Colorado,2014,2100.0,1348.0,33591.01632047478
Colorado,2015,356.0,1392.0,33444.71767241379
Colorado,2016,350.0,1385.0,34334.82454873646
Colorado,2017,,1349.0,32112.432913269087
Colorado,2018,,1390.0,34220.42877697842
Colorado,2019,,1518.0,38142.273386034256
Colorado,2020,,1587.0,36617.07876496534
Colorado,2021,,1768.0,40787.444004524885
Colorado,2022,,1794.0,45157.30044593088
Connecticut,2013,3540.0,,
Connecticut,2014,3576.0,1544.0,52137.64766839378
Connecticut,2015,592.0,1512.0,50388.91798941799
Connecticut,2016,598.0,1541.0,47426.84231018819
Connecticut,2017,,1633.0,43752.211267605635
Connecticut,2018,,1435.0,39063.35679442509
Connecticut,2019,,1414.0,42590.091230551625
Connecticut,2020,,1501.0,40838.24650233178
Connecticut,2021,,1558.0,50084.77406931964
Connecticut,2022,,1531.0,59439.6120182887
Delaware,2013,756.0,,
Delaware,2014,756.0,373.0,27150.09383378016
Delaware,2015,122.0,290.0,20181.475862068964
Delaware,2016,124.0,446.0,29866.313901345293
Delaware,2017,,522.0,31256.208812260535
Delaware,2018,,517.0,53964.89748549323
Delaware,2019,,478.0,55641.261506276154
Delaware,2020,,600.0,50508.935
Delaware,2021,,588.0,54294.0918367347
Delaware,2022,,586.0,60248.061433447096
District of Columbia,2013,276.0,,
District of Columbia,2014,300.0,122.0,30368.72131147541
District of Columbia,2015,52.0,142.0,36725.366197183095
District of Columbia,2016,48.0,227.0,40486.748898678416
District of Columbia,2017,,231.0,43735.62337662338
District of Columbia,2018,,230.0,44976.782608695656
District of Columbia,2019,,171.0,47666.01754385965
District of Columbia,2020,,140.0,47690.78571428572
District of Columbia,2021,,67.0,48719.92537313433
District of Columbia,2022,,99.0,35129.666666666664
Florida,2013,9900.0,,
Florida,2014,9948.0,8172.0,34754.10095447871
Florida,2015,1694.0,8165.0,36291.30422535211
Florida,2016,1704.0,7651.0,37937.16664488302
Florida,2017,,7540.0,38095.293103448275
Florida,2018,,7865.0,38786.39618563255
Florida,2019,,7304.0,41496.38677437021
Florida,2020,,7063.0,43545.13153051111
Florida,2021,,7405.0,44075.26144496961
Florida,2022,,7271.0,47994.387567047175
Georgia,2013,6324.0,,
Georgia,2014,6408.0,4197.0,40042.700262091974
Georgia,2015,1072.0,3807.0,40545.13107433675
Georgia,2016,1084.0,4127.0,38147.33389871578
Georgia,2017,,4169.0,38703.80163108659
Georgia,2018,,3881.0,40399.59649574852
Georgia,2019,,3737.0,40993.99946481134
Georgia,2020,,4063.0,40852.74255476249
Georgia,2021,,3927.0,42299.77820218997
Georgia,2022,,4079.0,45723.00931600883
Hawaii,2013,408.0,,
Hawaii,2014,396.0,556.0,39150.35611510791
Hawaii,2015,66.0,641.0,37634.248049922
Hawaii,2016,66.0,618.0,44364.01456310679
Hawaii,2017,,763.0,40877.84010484928
Hawaii,2018,,1073.0,37546.81733457596
Hawaii,2019,,1014.0,43420.5483234714
Hawaii,2020,,1081.0,41389.96484736355
Hawaii,2021,,1140.0,39560.20087719298
Hawaii,2022,,957.0,48157.91013584117
Idaho,2013,1008.0,,
Idaho,2014,1020.0,500.0,34530.716
Idaho,2015,166.0,669.0,34599.85949177878
Idaho,2016,168.0,542.0,36403.841328413284
Idaho,2017,,526.0,43315.33079847909
Idaho,2018,,509.0,47252.83497053045
Idaho,2019,,639.0,40390.41940532081
Idaho,2020,,477.0,39943.45073375262
Idaho,2021,,535.0,41586.181308411215
Idaho,2022,,510.0,33529.42549019608
Illinois,2013,12684.0,,
Illinois,2014,12696.0,5396.0,45137.21052631579
Illinois,2015,2110.0,5303.0,44725.45257401471
Illinois,2016,2078.0,5316.0,43478.541196388265
Illinois,2017,,5158.0,45114.09887553315
Illinois,2018,,5503.0,41984.79483917863
Illinois,2019,,5252.0,42740.35853008378
Illinois,2020,,5572.0,45399.71464465183
Illinois,2021,,5436.0,53610.9157468727
Illinois,2022,,5646.0,57235.322706340776
Indiana,2013,7956.0,,
Indiana,2014,7980.0,3653.0,36291.72789488092
Indiana,2015,1304.0,3898.0,32484.667008722423
Indiana,2016,1300.0,4101.0,33904.42014142892
Indiana,2017,,4360.0,35836.306880733944
Indiana,2018,,4549.0,39726.90811167289
Indiana,2019,,4675.0,37009.12449197861
Indiana,2020,,4219.0,37894.30860393458
Indiana,2021,,4126.0,42198.538778477945
Indiana,2022,,4132.0,45884.28291384318
Iowa,2013,5280.0,,
Iowa,2014,5400.0,2138.0,34846.092142188965
Iowa,2015,900.0,1936.0,34634.694214876035
Iowa,2016,892.0,1871.0,32032.387493319082
Iowa,2017,,2121.0,32189.72607260726
Iowa,2018,,2309.0,37212.955825032484
Iowa,2019,,2011.0,34233.65042267529
Iowa,2020,,2064.0,36259.479166666664
Iowa,2021,,1966.0,38886.032044760934
Iowa,2022,,1662.0,41963.679302045726
Kansas,2013,3456.0,,
Kansas,2014,3360.0,1398.0,31572.517882689557
Kansas,2015,566.0,1537.0,31950.98373454782
Kansas,2016,554.0,1624.0,32555.893472906402
Kansas,2017,,1794.0,32694.18004459309
Kansas,2018,,2037.0,32459.58615611193
Kansas,2019,,1847.0,32439.85056848944
Kansas,2020,,1730.0,37341.04797687861
Kansas,2021,,1587.0,36286.65910522999
Kansas,2022,,1425.0,42865.15438596491
Kentucky,2013,5844.0,,
Kentucky,2014,5772.0,2725.0,30746.52513761468
Kentucky,2015,966.0,2998.0,34767.53769179453
Kentucky,2016,978.0,2820.0,38823.46560283688
Kentucky,2017,,3019.0,38702.231864855916
Kentucky,2018,,3044.0,40027.438239159004
Kentucky,2019,,2927.0,42002.80218653912
Kentucky,2020,,3090.0,37602.42718446602
Kentucky,2021,,3298.0,40464.57246816252
Kentucky,2022,,3250.0,45314.00646153846
Louisiana,2013,3804.0,,
Louisiana,2014,3756.0,3583.0,38015.22104381803
Louisiana,2015,622.0,3441.0,39394.91485033421
Louisiana,2016,630.0,2944.0,40126.76188858696
Louisiana,2017,,2626.0,36646.11652703732
Louisiana,2018,,2392.0,36877.12834448161
Louisiana,2019,,2387.0,45187.690825303725
Louisiana,2020,,2872.0,60882.96413649025
Louisiana,2021,,2672.0,65547.16654191617
Louisiana,2022,,2759.0,72336.78869155492
Maine,2013,1680.0,,
Maine,2014,1584.0,454.0,37007.202643171804
Maine,2015,258.0,436.0,35311.60779816514
Maine,2016,258.0,581.0,31811.886402753873
Maine,2017,,598.0,30964.476588628764
Maine,2018,,705.0,34214.02836879432
Maine,2019,,709.0,37429.3610719323
Maine,2020,,719.0,37158.31988873435
Maine,2021,,617.0,48283.38897893031
Maine,2022,,565.0,49050.34336283186
Maryland,2013,3648.0,,
Maryland,2014,3708.0,2432.0,39516.45065789474
Maryland,2015,618.0,2251.0,37017.411816970234
Maryland,2016,612.0,2267.0,33694.17115130128
Maryland,2017,,2271.0,38600.024658740644
Maryland,2018,,2338.0,41479.483319076135
Maryland,2019,,2084.0,42833.57341650672
Maryland,2020,,2080.0,47998.751923076925
Maryland,2021,,2079.0,60426.20202020202
Maryland,2022,,2143.0,61666.40410639291
Massachusetts,2013,6228.0,,
Massachusetts,2014,6180.0,2723.0,50547.18802791039
Massachusetts,2015,1030.0,2927.0,48912.43833276392
Massachusetts,2016,1034.0,3049.0,50311.66349622827
Massachusetts,2017,,3278.0,50032.83099450885
Massachusetts,2018,,3088.0,50130.085492227976
Massachusetts,2019,,3113.0,45567.9964664311
Massachusetts,2020,,2742.0,46011.45988329686
Massachusetts,2021,,2605.0,50104.22687140115
Massachusetts,2022,,2165.0,52904.381524249424
Michigan,2013,8616.0,,
Michigan,2014,8508.0,4518.0,36791.00486941124
Michigan,2015,1406.0,4868.0,35072.521158586685
Michigan,2016,1396.0,5212.0,39021.41193399847
Michigan,2017,,5286.0,38368.06715853197
Michigan,2018,,5361.0,39618.75676179817
Michigan,2019,,5602.0,41358.96769011067
Michigan,2020,,4837.0,36364.82034318792
Michigan,2021,,4892.0,38873.67886345053
Michigan,2022,,4683.0,46512.4110612855
Minnesota,2013,4896.0,,
Minnesota,2014,5016.0,2632.0,45892.38829787234
Minnesota,2015,832.0,2423.0,43374.911679735866
Minnesota,2016,828.0,2146.0,41504.326188257226
Minnesota,2017,,2213.0,46654.507907817446
Minnesota,2018,,2156.0,53422.2745825603
Minnesota,2019,,2043.0,52522.61086637298
Minnesota,2020,,1968.0,50803.74542682927
Minnesota,2021,,2111.0,49124.17527238276
Minnesota,2022,,2038.0,52454.347399411185
Mississippi,2013,3192.0,,
Mississippi,2014,3144.0,1449.0,39184.92891649414
Mississippi,2015,528.0,1412.0,42821.90297450425
Mississippi,2016,534.0,1479.0,39031.11561866126
Mississippi,2017,,1541.0,37071.46852693056
Mississippi,2018,,1860.0,35607.3376344086
Mississippi,2019,,2085.0,32942.888729016784
Mississippi,2020,,1912.0,32233.266736401674
Mississippi,2021,,1520.0,35369.867105263154
Mississippi,2022,,1987.0,45424.549572219425
Missouri,2013,6828.0,,
Missouri,2014,6720.0,3053.0,35599.36554208975
Missouri,2015,1128.0,3393.0,33192.86147951665
Missouri,2016,1128.0,3383.0,37138.26041974579
Missouri,2017,,3081.0,38499.82797792924
Missouri,2018,,2949.0,39555.60969820278
Missouri,2019,,3245.0,38137.38582434515
Missouri,2020,,3140.0,44417.47643312102
Missouri,2021,,3076.0,45656.027958387516
Missouri,2022,,3180.0,50909.01446540881
Montana,2013,948.0,,
Montana,2014,936.0,160.0,43823.98125
Montana,2015,158.0,187.0,46258.994652406414
Montana,2016,156.0,243.0,40967.37448559671
Montana,2017,,206.0,44841.96601941747
Montana,2018,,162.0,31530.685185185186
Montana,2019,,253.0,36184.596837944664
Montana,2020,,361.0,29999.939058171745
Montana,2021,,401.0,43050.73566084788
Montana,2022,,520.0,42886.88269230769
Nebraska,2013,2220.0,,
Nebraska,2014,2220.0,1063.0,32417.92474129821
Nebraska,2015,374.0,962.0,31731.907484407486
Nebraska,2016,366.0,986.0,34817.535496957404
Nebraska,2017,,1014.0,36048.58875739645
Nebraska,2018,,887.0,36969.04171364149
Nebraska,2019,,732.0,38254.352459016394
Nebraska,2020,,771.0,32695.06225680934
Nebraska,2021,,633.0,27244.27646129542
Nebraska,2022,,870.0,31227.041379310343
Nevada,2013,876.0,,
Nevada,2014,852.0,590.0,44749.4593220339
Nevada,2015,148.0,565.0,47791.5185840708
Nevada,2016,142.0,476.0,48238.85924369748
Nevada,2017,,560.0,49380.59464285714
Nevada,2018,,558.0,42976.96953405018
Nevada,2019,,685.0,43097.57518248175
Nevada,2020,,768.0,46052.77734375
Nevada,2021,,852.0,49581.116197183095
Nevada,2022,,774.0,53635.36821705427
New Hampshire,2013,972.0,,
New Hampshire,2014,996.0,268.0,54734.30223880597
New Hampshire,2015,166.0,273.0,44645.153846153844
New Hampshire,2016,168.0,296.0,39292.01013513513
New Hampshire,2017,,350.0,38343.55714285714
New Hampshire,2018,,398.0,39760.5
New Hampshire,2019,,419.0,46405.200477326965
New Hampshire,2020,,372.0,48862.69086021505
New Hampshire,2021,,279.0,45547.89964157706
New Hampshire,2022,,204.0,62454.51960784314
New Jersey,2013,7176.0,,
New Jersey,2014,7932.0,3251.0,51490.51122731467
New Jersey,2015,1296.0,2884.0,58083.735090152564
New Jersey,2016,1322.0,2997.0,55141.68702035369
New Jersey,2017,,2922.0,61752.69267624914
New Jersey,2018,,3011.0,58400.142809697776
New Jersey,2019,,3373.0,57362.68366439371
New Jersey,2020,,3419.0,56730.78414741153
New Jersey,2021,,3689.0,60687.499322309566
New Jersey,2022,,3966.0,57045.21129601614
New Mexico,2013,936.0,,
New Mexico,2014,960.0,548.0,27329.839416058396
New Mexico,2015,164.0,510.0,31126.352941176472
New Mexico,2016,168.0,469.0,34165.08315565032
New Mexico,2017,,527.0,34779.001897533206
New Mexico,2018,,639.0,35824.336463223786
New Mexico,2019,,766.0,35448.74412532637
New Mexico,2020,,763.0,33624.84665792923
New Mexico,2021,,729.0,33629.0548696845
New Mexico,2022,,813.0,37574.19188191882
New York,2013,18540.0,,
New York,2014,18444.0,7788.0,48087.55893682589
New York,2015,3072.0,8140.0,47777.98194103194
New York,2016,3038.0,8097.0,47609.66790169199
New York,2017,,8232.0,47372.652818270166
New York,2018,,7587.0,47122.531830763146
New York,2019,,7611.0,48374.26369728025
New York,2020,,7192.0,51190.41031701891
New York,2021,,7276.0,54844.64403518417
New York,2022,,7301.0,60096.62607861937
North Carolina,2013,7812.0,,
North Carolina,2014,7980.0,4993.0,34747.69697576607
North Carolina,2015,1348.0,4842.0,33745.44816191656
North Carolina,2016,1378.0,4327.0,34644.23596024959
North Carolina,2017,,4250.0,37925.43011764706
North Carolina,2018,,4290.0,39289.09627039627
North Carolina,2019,,4471.0,46845.016327443525
North Carolina,2020,,4751.0,48419.10334666386
North Carolina,2021,,4895.0,47857.02512768131
North Carolina,2022,,4584.0,50004.32744328098
North Dakota,2013,900.0,,
North Dakota,2014,948.0,303.0,26407.392739273928
North Dakota,2015,150.0,309.0,32257.566343042072
North Dakota,2016,146.0,418.0,37542.688995215314
North Dakota,2017,,315.0,40537.955555555556
North Dakota,2018,,325.0,42851.04
North Dakota,2019,,294.0,47336.486394557825
North Dakota,2020,,228.0,36674.88157894737
North Dakota,2021,,65.0,36533.53846153846
North Dakota,2022,,143.0,26189.18881118881
Ohio,2013,13788.0,,
Ohio,2014,13800.0,6555.0,36105.14462242563
Ohio,2015,2270.0,6968.0,37521.6340413318
Ohio,2016,2254.0,6952.0,37140.19375719217
Ohio,2017,,6504.0,39779.655904059044
Ohio,2018,,6792.0,41173.45450530035
Ohio,2019,,6456.0,40049.77447335811
Ohio,2020,,5836.0,39191.897875257026
Ohio,2021,,6191.0,43628.811823614924
Ohio,2022,,6480.0,45685.36882716049
Oklahoma,2013,3840.0,,
Oklahoma,2014,3744.0,2163.0,33935.04299583911
Oklahoma,2015,598.0,1985.0,39746.90377833753
Oklahoma,2016,596.0,1839.0,39120.47634584013
Oklahoma,2017,,2006.0,37445.22432701894
Oklahoma,2018,,2158.0,46608.246061167745
Oklahoma,2019,,1984.0,46341.53125
Oklahoma,2020,,1883.0,41538.67445565587
Oklahoma,2021,,1740.0,47061.38448275862
Oklahoma,2022,,1635.0,60900.4122324159
Oregon,2013,2208.0,,
Oregon,2014,2244.0,1022.0,30062.962818003914
Oregon,2015,358.0,987.0,32096.393110435663
Oregon,2016,362.0,959.0,34116.16684045881
Oregon,2017,,880.0,34387.535227272725
Oregon,2018,,1022.0,39274.14970645792
Oregon,2019,,1198.0,41229.28881469115
Oregon,2020,,1052.0,43503.86311787072
Oregon,2021,,1101.0,43576.500454132605
Oregon,2022,,993.0,46416.572004028196
Pennsylvania,2013,18864.0,,
Pennsylvania,2014,18576.0,6777.0,37857.32861148001
Pennsylvania,2015,3108.0,6742.0,37330.66122812222
Pennsylvania,2016,3048.0,7144.0,40275.924132138854
Pennsylvania,2017,,7363.0,42468.73624881163
Pennsylvania,2018,,7130.0,45338.63001402524
Pennsylvania,2019,,7401.0,47181.81245777597
Pennsylvania,2020,,7393.0,47422.11646151765
Pennsylvania,2021,,6995.0,48299.27105075053
Pennsylvania,2022,,6403.0,51188.68592847103
Puerto Rico,2014,,2221.0,21918.818099954977
Puerto Rico,2015,,1766.0,21102.841449603624
Puerto Rico,2016,,1813.0,23133.627137341424
Puerto Rico,2017,,1806.0,22099.341638981175
Puerto Rico,2018,,1979.0,22303.75947448206
Puerto Rico,2019,,1727.0,20900.63578459757
Puerto Rico,2020,,1603.0,20123.78041172801
Puerto Rico,2021,,1436.0,18363.208217270196
Puerto Rico,2022,,1275.0,20820.623529411765
Rhode Island,2013,1260.0,,
Rhode Island,2014,1272.0,602.0,49384.87707641196
Rhode Island,2015,208.0,608.0,44316.29276315789
Rhode Island,2016,206.0,529.0,44762.465028355386
Rhode Island,2017,,529.0,44033.22684310019
Rhode Island,2018,,545.0,40490.32660550459
Rhode Island,2019,,550.0,33111.80545454546
Rhode Island,2020,,572.0,42040.57867132867
Rhode Island,2021,,553.0,45192.44122965642
Rhode Island,2022,,474.0,44129.20675105485
South Carolina,2013,4068.0,,
South Carolina,2014,4044.0,2918.0,32142.87697052776
South Carolina,2015,668.0,2971.0,32462.669471558398
South Carolina,2016,670.0,2656.0,28209.455572289156
South Carolina,2017,,2934.0,32390.378663940013
South Carolina,2018,,2353.0,36192.10582235444
South Carolina,2019,,2407.0,37402.8670544246
South Carolina,2020,,2253.0,36875.24988903684
South Carolina,2021,,2367.0,42097.98267849599
South Carolina,2022,,2220.0,45690.83783783784
South Dakota,2013,1140.0,,
South Dakota,2014,1152.0,419.0,54926.03341288783
South Dakota,2015,186.0,321.0,43396.96261682243
South Dakota,2016,194.0,297.0,44142.589225589225
South Dakota,2017,,251.0,43973.7609561753
South Dakota,2018,,340.0,32909.07352941176
South Dakota,2019,,418.0,36672.67224880383
South Dakota,2020,,396.0,39673.56060606061
South Dakota,2021,,387.0,38097.75710594315
South Dakota,2022,,388.0,40221.55927835051
Tennessee,2013,5940.0,,
Tennessee,2014,5976.0,2638.0,37907.33586050038
Tennessee,2015,1004.0,2751.0,38376.85932388222
Tennessee,2016,1030.0,2968.0,38137.99629380054
Tennessee,2017,,3118.0,38839.67511225144
Tennessee,2018,,3193.0,38343.40463513937
Tennessee,2019,,3176.0,39736.42915617128
Tennessee,2020,,3508.0,40420.055302166475
Tennessee,2021,,3417.0,44037.42493415277
Tennessee,2022,,3579.0,44771.00614696843
Texas,2013,15372.0,,
Texas,2014,15324.0,11789.0,35012.42531173128
Texas,2015,2574.0,11687.0,34852.118422178486
Texas,2016,2564.0,12248.0,37690.83719790986
Texas,2017,,11542.0,38159.46699012303
Texas,2018,,11746.0,38633.5377149668
Texas,2019,,11888.0,39826.03129205922
Texas,2020,,12406.0,43420.42955021764
Texas,2021,,12485.0,43304.616900280336
Texas,2022,,12357.0,46439.83855304686
Utah,2013,1128.0,,
Utah,2014,1152.0,929.0,35120.85360602799
Utah,2015,190.0,916.0,29755.886462882096
Utah,2016,202.0,1100.0,29487.612727272728
Utah,2017,,977.0,29684.625383828046
Utah,2018,,869.0,31264.799769850404
Utah,2019,,922.0,35856.95010845987
Utah,2020,,1100.0,34061.88636363636
Utah,2021,,986.0,39992.53752535497
Utah,2022,,1189.0,46725.38015138772
Vermont,2013,948.0,,
Vermont,2014,972.0,141.0,32613.163120567377
Vermont,2015,154.0,128.0,32415.8046875
Vermont,2016,156.0,129.0,21638.58914728682
Vermont,2017,,132.0,22103.598484848484
Vermont,2018,,236.0,25432.53813559322
Vermont,2019,,178.0,27067.43820224719
Vermont,2020,,184.0,47730.27717391304
Vermont,2021,,207.0,57398.782608695656
Vermont,2022,,225.0,82683.10666666667
Virginia,2013,6228.0,,
Virginia,2014,6312.0,3894.0,42391.68207498716
Virginia,2015,1028.0,4156.0,41773.77526467758
Virginia,2016,1042.0,4110.0,41483.86545012165
Virginia,2017,,3713.0,40618.9332076488
Virginia,2018,,3626.0,41274.60700496415
Virginia,2019,,3871.0,42709.91862567812
Virginia,2020,,4172.0,45161.89956855225
Virginia,2021,,4150.0,44744.24265060241
Virginia,2022,,4303.0,45950.228677666746
Washington,2013,3264.0,,
Washington,2014,3288.0,1749.0,44674.66437964551
Washington,2015,564.0,1803.0,43895.37825845813
Washington,2016,572.0,1798.0,39692.79254727475
Washington,2017,,1868.0,42141.843147751606
Washington,2018,,1774.0,46948.401916572715
Washington,2019,,1921.0,47355.07391983342
Washington,2020,,1948.0,52418.6909650924
Washington,2021,,2135.0,51947.04918032787
Washington,2022,,2389.0,61579.25784847217
West Virginia,2013,3888.0,,
West Virginia,2014,3840.0,1052.0,30012.66254752852
West Virginia,2015,636.0,1259.0,30812.899920571883
West Virginia,2016,632.0,1448.0,31323.263812154695
West Virginia,2017,,1520.0,32152.090789473685
West Virginia,2018,,1518.0,31914.095520421608
West Virginia,2019,,1559.0,31195.699166132137
West Virginia,2020,,1279.0,31872.46520719312
West Virginia,2021,,1206.0,39350.95771144279
West Virginia,2022,,1341.0,43844.18791946309
Wisconsin,2013,6732.0,,
Wisconsin,2014,6696.0,2159.0,40496.876794812415
Wisconsin,2015,1112.0,2449.0,37048.85871784402
Wisconsin,2016,1100.0,2481.0,36000.48327287384
Wisconsin,2017,,2357.0,37297.85447602885
Wisconsin,2018,,2187.0,40306.81115683585
Wisconsin,2019,,2295.0,44216.32331154684
Wisconsin,2020,,1933.0,46334.27728918779
Wisconsin,2021,,1870.0,50723.16042780749
Wisconsin,2022,,1872.0,54740.568910256414
Wyoming,2013,348.0,,
Wyoming,2014,372.0,171.0,25212.883040935674
Wyoming,2015,60.0,373.0,18369.088471849867
Wyoming,2016,60.0,380.0,16018.702631578948
Wyoming,2017,,469.0,16080.782515991472
Wyoming,2018,,453.0,21068.684326710816
Wyoming,2019,,477.0,19517.779874213837
Wyoming,2020,,209.0,24736.598086124402
Wyoming,2021,,212.0,26459.745283018867
Wyoming,2022,,98.0,42937.836734693876
